week,entry_price,exit_price,signal,strategy_ret,cum_return
2024-03-29,81.62000274658203,85.1500015258789,1,0.042249187215258936,6.6438897719800565
2024-04-05,85.1500015258789,85.2300033569336,1,-6.0460016194207244e-05,6.64348808229685
2024-04-12,85.2300033569336,85.36000061035156,1,0.0005252522386225305,6.646977589284338
2024-04-19,85.36000061035156,83.36000061035156,-1,0.02243017790181999,6.796070479121396
2024-04-26,83.36000061035156,81.93000030517578,-1,0.016154514091956534,6.905857695446293
2024-05-03,81.93000030517578,78.37999725341797,-1,0.042329708757898626,7.198180640418028
2024-05-10,78.37999725341797,78.0199966430664,-1,0.003593016368546297,7.224043821282803
2024-05-17,78.0199966430664,79.26000213623047,1,0.014893431767716708,7.331634625022073
2024-05-24,79.26000213623047,79.83000183105469,1,0.006191517530424929,7.3770285693295685
2024-05-31,79.83000183105469,73.25,-1,0.0814251744974281,7.977704407859742
2024-06-07,73.25,77.9000015258789,1,0.06248124950005332,8.4761613474049
2024-06-14,77.9000015258789,81.56999969482422,1,0.04611165721513002,8.867011193956571
2024-06-21,81.56999969482422,80.83000183105469,-1,0.008071936576413714,8.938585145936539
2024-06-28,80.83000183105469,82.80999755859375,1,0.02349580208692205,9.148604373462565
2024-07-05,82.80999755859375,81.41000366210938,-1,0.015906097545695292,9.294122967033834
2024-07-12,81.41000366210938,80.76000213623047,-1,0.006984295499810131,9.35903586824717
2024-07-19,80.76000213623047,76.95999908447266,-1,0.0460530330762963,9.790047856649801
2024-07-26,76.95999908447266,74.7300033569336,-1,0.027976036305449793,10.063934590919526
2024-08-02,74.7300033569336,73.19999694824219,-1,0.019473790177468916,10.259917541502864
2024-08-09,73.19999694824219,78.3499984741211,1,0.06935521503532764,10.971496328838525
2024-08-16,78.3499984741211,74.04000091552734,-1,0.05400954234245884,11.564061824371061
2024-08-23,74.04000091552734,75.52999877929688,1,0.01912422805706713,11.785215579966357
2024-08-30,75.52999877929688,70.33999633789062,-1,0.06771445154622263,12.583244989317777
2024-09-06,70.33999633789062,65.75,-1,0.06425442958287579,13.39177421840797
2024-09-13,65.75,71.19000244140625,1,0.08173767971720532,14.48638677031733
2024-09-20,71.19000244140625,71.55999755859375,1,0.0041972904129625324,14.54719034262685
2024-09-27,71.55999755859375,69.83000183105469,-1,0.02317545816882584,14.884328143886346
2024-10-04,69.83000183105469,73.56999969482422,1,0.05255861042103375,15.666627748179698
2024-10-11,73.56999969482422,70.58000183105469,-1,0.03964153698752677,16.287676951528976
2024-10-18,70.58000183105469,72.08999633789062,1,0.02039408426837913,16.619849207814596
2024-10-25,72.08999633789062,67.20999908447266,-1,0.06669312666552368,17.72827891619328
2024-11-01,67.20999908447266,71.98999786376953,1,0.07012035179898084,18.971392070587207
2024-11-08,71.98999786376953,68.12000274658203,-1,0.05275740008370185,19.972273392199945
2024-11-15,68.12000274658203,69.38999938964844,1,0.017643520138879164,20.324654600014426
2024-11-22,69.38999938964844,68.7699966430664,-1,0.007935044704360135,20.485931642866223
2024-11-29,68.7699966430664,69.94000244140625,1,0.016013317659625145,20.813979373816807
2024-12-06,69.94000244140625,68.58999633789062,-1,0.018302345673302224,21.194924019153383
2024-12-13,68.58999633789062,70.08000183105469,1,0.02072336452423676,21.6341541556658
2024-12-20,70.08000183105469,70.0999984741211,1,-0.0007146597810511887,21.618693095793684
2024-12-27,70.0999984741211,71.72000122070312,1,0.02210988276526268,22.096679865679874
2025-01-03,71.72000122070312,74.25,1,0.034276055998818784,22.85406690214389
2025-01-10,74.25,77.5,1,0.04277104377104377,23.83155919796185
2025-01-17,77.5,75.88999938964844,-1,0.01977420142389113,24.302809249787735
2025-01-24,75.88999938964844,73.7699966430664,-1,0.02693520574031266,24.957410416998343
2025-01-31,73.7699966430664,72.69999694824219,-1,0.013504537664565386,25.294448705984717
2025-02-07,72.69999694824219,73.31999969482422,1,0.00752823621194144,25.48487129069421
2025-02-14,73.31999969482422,71.8499984741211,-1,0.019049116568761997,25.97033557465054
2025-02-21,71.8499984741211,68.93000030517578,-1,0.03964019806482023,26.999804820639536
2025-02-28,68.93000030517578,68.26000213623047,-1,0.008719979195981581,27.235242556971077
2025-03-07,68.26000213623047,66.25,-1,0.02844626535784441,28.009983493831932
2025-03-14,66.25,66.9000015258789,1,0.008811343786851417,28.256789087860117
2025-03-21,66.9000015258789,69.0,1,0.03039011100483685,29.115516044880447
2025-03-28,69.0,71.19999694824219,1,0.030884013742640395,30.014720042534606
2025-04-04,71.19999694824219,59.58000183105469,-1,0.16220218560731806,34.883173233825495
2025-04-11,59.58000183105469,61.33000183105469,1,0.02837227167200007,35.872888101597034
2025-04-18,61.33000183105469,64.30999755859375,1,0.04758952614656747,37.580061847860875
2025-04-25,64.30999755859375,60.41999816894531,-1,0.059488252796218874,39.81563406716396
2025-05-02,60.41999816894531,59.09000015258789,-1,0.021012546452558727,40.652261927538326
2025-05-09,59.09000015258789,63.66999816894531,1,0.07650885098206989,43.76251977743643
2025-05-16,63.66999816894531,62.560001373291016,-1,0.016433592391646896,44.48169518949021
